Project Name,City,State,Utility,System Size (kW),Year of Interconnection,Co-located Projects,Ciy Lat,City Long
Zumbro Solar,Zumbrota,MN,Xcel Energy,5000,2016,,36.386022,-79.290213
Argo Navis Community Solar,,MN,Xcel Energy,900,,Argo Navis Community Solar,,
Argo Navis Community Solar,,MN,Xcel Energy,900,,Argo Navis Community Solar,,
Argo Navis Community Solar,,MN,Xcel Energy,900,,Argo Navis Community Solar,,
Caelum Community Solar,,MN,,900,,,,
Carina Community Solar,,MN,Xcel Energy,900,,Carina Community Solar,,
Carina Community Solar,,MN,Xcel Energy,900,,Carina Community Solar,,
Carina Community Solar,,MN,Xcel Energy,900,,Carina Community Solar,,
Carina Community Solar,,MN,Xcel Energy,900,,Carina Community Solar,,
Centaurus Community Solar,,MN,Xcel Energy,900,,Centaurus Community Solar,,
Centaurus Community Solar,,MN,Xcel Energy,900,,Centaurus Community Solar,,
Crater Community Solar,,MN,Xcel Energy,900,,Crater Community Solar,,
Crater Community Solar,,MN,Xcel Energy,900,,Crater Community Solar,,
Crater Community Solar,,MN,Xcel Energy,900,,Crater Community Solar,,
Gemini Community Solar,,MN,Xcel Energy,900,,Gemini Community Solar,,
Gemini Community Solar,,MN,Xcel Energy,900,,Gemini Community Solar,,
Gemini Community Solar,,MN,Xcel Energy,900,,Gemini Community Solar,,
Boone Electric Community Solar Farm,Columbia,MO,Boone Electric Cooperative,128,2016,,35.219455,-75.690349
Independence Community Solar Farm,Independence,MO,Independence power and light,3300,2016,,36.420403,-81.473438
Platte-Clay Electric Solar Farm Phase 1,Kearney,MO,Platte-Clay Electric Cooperative,170.5,2015,,35.91402,-81.538985
CU Solar Initiative,Springfield,MO,City Utilities,4950,2014,,35.3,-80
Missoula Community Solar Phase 2,Frenchtown,MT,Missoula Electric Cooperative,51.5,2016,,47.0149,-114.2298
Valley Solar,Hamilton,MT,Ravalli Electric Cooperative,25,2015,Valley Solar,35.610417,-76.861308
Valley Solar Expansion,Hamilton,MT,Ravalli Electric Cooperative,25,2016,Valley Solar,35.610417,-76.861308
"Flathead Electric Coop Solar Utility Network ""SUN""",Kalispell,MT,Flathead Electric Cooperative,101.46,2015,,36.393752,-78.982788
Missoula Community Solar,Lolo,MT,Missoula Electric Cooperative,50,2016,,36.505407,-81.120919
Roanoke Electric Community Solar Farm,Ahoskie,NC,Roanoke Electric Cooperative,113,2015,,36.28,-78.95
Sunpath Community Solar Project,Asheboro,NC,Randolph EMC,108.864,2015,,46.877186,-96.789803
AIRE Demonstration Project: First Congregational United Church of Chris,Asheville,NC,,,2011,,41.115848,-98.001725
Brunswick County Farm,Bolivia,NC,Brunswick Electric,125,2015,,41.430297,-97.35939
Sherwood,Boone,NC,Blue Ridge Energy,117,2016,,36.2101465,-81.67799336
Caswell Office community Solar,Caswell,NC,Peidmont Electric Cooperative,250,2016,,41.866634,-103.667166
Culumbus County Farm,Chadborne,NC,Brunswick Electric,125,2016,,40.761681,-102.041658
Cape Hatteras Community Solar Garden,Hatteras Village,NC,Cape Hatteras Electric Cooperative,52.7,2016,,40.69816,-74.40587658
Jefferson,Jefferson,NC,Blue Ridge Energy,117,2016,,36.3891405,-105.5846198
Patterson Site,Lenoir,NC,Blue Ridge Energy,117,2016,,36.208294,-115.983915
Pee Dee Solar,Pee Dee,NC,Pee Dee EMC,114,2015,,34.935,-79.8897
Tideland Community Solar Garden Phase 1,Pinetown,NC,Tideland EMC,100,2014,Tideland Community Solar Garden,44.375678,-75.46697028
Tideland Community Solar Garden Phase 2,Pinetown,NC,Tideland EMC,100,2015,Valley Solar,42.91,-73.51
Roxboro Office Farm,Roxboro,NC,Peidmont Electric Cooperative,250,2016,,41.9283785,-73.99620805
Sparta,Sparta,NC,Blue Ridge Energy,117,2016,,42.900127,-73.68933968
Prairie Sun Community Solar,Fargo,ND,Cass County Electric,102,2016,,43.230706,-77.31201
Central City Community Solar garden,Central City,NE,City of Central City,75,2017,,42.374311,-77.093748
Sunwise Community Solar,Columbus,NE,Nebraska Public Power District,5760,2017,,42.374311,-77.093748
Solar Farm One,Fremont,NE,City of Fremont,1550,2018,,44.283116,-75.556606
LES Community Solar Facility,Lincoln,NE,Lincoln Electric Power,4700,2016,,42.999597,-78.867291
Scottsbluff Community Solar,Scottsbluff,NE,Nebraska Public Power District,108,2017,,42.54,-76.66
Venango Community Solar,Venango,NE,Nebraska Public Power District,96,2016,,42.54,-76.66
Passaic Plaza Community Solar Farm,New Providence,NJ,,211,2017,,43.218784,-77.457073
Foothills Solar Array at Taos Charter School,Taos,NM,Kit Carson Electric Cooperative,98.7,2012,,36.3891405,-105.5846198
Valley Community Solar,Pahrump,NV,Valley Electric Association,17500,2017,,36.860026,-101.213495
US 93 Community Solar,Panaca,NV,Lincoln County Power District,90,2015,,37.7891,-114.3847
114897,Brooklyn,NY,Consolidated Edison,,2018,,40.6782,-73.9442
5408-98139,Callicoon,NY,NYS Electric and Gas,2754.05,2018,,41.838049,-74.91344866
Ulysses Community Solar Farm,Enfield,NY,NYS Electric and Gas,2300,2017,,42.436269,-76.62990773
4758-98942,Germantown,NY,National Grid,214.2,2017,,42.133021,-73.87788452
71246,Gouverneur,NY,National Grid,241.2,2016,,35.222567,-97.439478
Hawthorne Community Solar,Hawthorne,NY,,200,2017,,41.1073,-73.796
4548-101786,Johnsonville,NY,National Grid,195,2017,,42.191519,-122.7070858
4354-99737,Kingston,NY,Central Hudson Gas and Electric,154.28,2017,,44.058173,-121.31531
,Lowman,NY,,2800,2018,,42.0298,-76.7205
Halfmoon 5063-94972,Mechanicville,NY,NYS Electric and Gas,582.08,2017,,44.052069,-123.086754
5247-100878,Millport,NY,NYS Electric and Gas,646.38,2017,,45.709758,-121.5309338
77061,Ontario,NY,Rochester Gas and Electric,217.8,2017,,45.542786,-122.6178229
77075,Ontario,NY,Rochester Gas and Electric,258.4,2017,,42.343622,-122.8528924
79552,Orange,NY,NYS Electric and Gas,217.8,2017,,45.542786,-122.6178229
Somervill Community Solar,Somerville,NY,National Grid,241.2,2017,,45.078725,-123.485942
4575-47773,Tonawanda,NY,National Grid,99,2017,,39.815574,-76.24612537
5247-97697,Trumansburg,NY,NYS Electric and Gas,359.1,2016,,32.776475,-79.931051
71614,Trumansburg,NY,NYS Electric and Gas,498.96,2017,,40.004765,-75.13606295
80248,Webster,NY,Rochester Gas and Electric,261.12,2017,,33.836003,-79.047814
25 arrays around Ohio - Is this CS? ,,OH,Buckeye Power G&T,2100,2016,,35.071795,-81.649819
OGE 10 MW Facility,Covington,OK,Oklahoma Gas and Electric Co.,15723.27,2018,,36.307702,-97.58855926
TCEC Community Solar,Hooker,OK,Tri-County Electric Cooperative,1536,2016,,34.8333235,-82.36986449
Mustang OGE Solar Farm South,Mustang,OK,Oklahoma Gas and Electric Co.,2000,2015,,34.8333235,-82.36986449
Mustang OGE Solar Farm North,Mustang,OK,Oklahoma Gas and Electric Co.,5000,2015,,34.8333235,-82.36986449
ECOEC Community Solar,Okmulgee,OK,East Central Oklahoma Electric Cooperative,299.25,2017,,35.606019,-95.95274338
Solar Pioneers 1,Ashland,OR,City of Ashland PUD,30,2000,,33.196003,-80.013137
Solar Pioneers 2,Ashland,OR,City of Ashland PUD,63.5,2007,,33.196003,-80.013137
Central Electric Cooperative Solar Farm,Bend,OR,Central Electric Cooperative,199.5,2016,,34.252098,-79.827284
Lane Electric Headquarters,Eugene,OR,Lane Electric,25,2015,,34.252098,-79.827284
City of Hood River Public Works Solar Project,Hood River,OR,Oregon Clean Power Cooperative,30,2017,,34.924867,-81.025078
Rogue Valley Council of Governments Solar Project,Medford,OR,Oregon Clean Power Cooperative,24.3,2014,,42.343622,-122.8528924
Mazamas Mountaineering Center Solar Project,Portland,OR,Oregon Clean Power Cooperative,37,2017,,35.788399,-86.674441
First Unitarian Church of Portland Solar Project,Portland,OR,Oregon Clean Power Cooperative,38.4,2017,,35.04563,-85.30968
Green Future Solar,Willamina,OR,Portland General Electric,2935,2015,,36.103977,-83.552675
Temple University Solar,Philadelphia,PA,PECO,63,2013,,29.39,-98.24
Horry Electric Community Solar,Conway,SC,Horry Electric,240,2017,,30.775749,-95.949397
Broad River Community Solar,Gafney,SC,Broad River Electric Cooperative,150,2017,,28.435289,-97.756641
Mauldin Solar Farm,Greenville,SC,Laurens Electric Cooperative (LEC),100,2016,Mauldin Solar Farm,31.761878,-106.485022
Mauldin Solar Expansion,Greenville,SC,Laurens Electric Cooperative (LEC),60,2017,Mauldin Solar Farm,33.154009,-97.064732
Blue Ridge Community Solar,Liberty,SC,Blue Ridge Electric Co-op,169,2017,,33.281506,-96.990563
Solar Share,Moncks Corner,SC,Santee Cooper,1000,2016,,29.728835,-99.761448
New River Community Solar,Palmetto,SC,Palmetto Electric Cooperative,169,2017,,27.956342,-97.93842695
Ridgeland Community Solar,Ridgeland,SC,Palmetto Electric Cooperative,169,2017,,29.480993,-98.53983121
YEC Community Solar,Rock Hill,SC,York Electric Cooperative,50,2016,,41.736291,-111.8386262
Laurens Headquarters,,SC,Laurens Electric Cooperative (LEC),90,2017,,39.061174,-113.191802
Solar Share,Chattanooga,TN,Chatanooga EPB,1400,2017,,37.104872,-113.5883022
Cooperative Solar Program,College Grove,TN,Middle Tennessee Electric,1000,2016,,37.784021,-79.442816
Appalachian Electric Cooperative,New Market,TN,Appalachian Electric Cooperative,1373.295,2017,,44.9297295,-73.28545191
DREMC Solar Farm,Shelbyville,TN,Duck River EMC,25.92,2012,,42.830921,72.560729
Roofless Solar Array,Adkins,TX,CPS Energy,1212.6,2016,,43.27466,-72.675135
La Loma,Austin,TX,Austin Energy,3200,2018,,44.543937,-73.147907
Mid South Synergy Community Solar,Bedias,TX,Mid-South Synergy,1200,2016,,42.911552,-72.63101
NEC Community Solar,Coastal Bend,TX,Nueces Electric Cooperative,1100.629,2015,,42.81127,-72.586026
The Solar Station,Corinth,TX,Coserv,95,2009,,42.81689,-72.588005
El Paso Community Solar,El Paso,TX,El Paso Electric,3000,2017,,44.32922,-73.110679
Coserv Solar Station,Krugerville,TX,Coserv,3144.654,2015,,43.430713,-72.716552
Community solar farm,Lakey,TX,Bandera Electric Cooperative,1900,2017,,44.017882,-73.172664
Palmer Array,Palmer,TX,Austin Energy,185,2016,,32.423214,-96.66353802
Logan City's Community Solar Farm,Logan,UT,Logan City Light & Power,19.2,2012,,42.986198,-72.507802
Subscriber Solar Program,Millard County,UT,Rocky mountain power,20000,2016,,43.1383,-72.5095
SunSmart Program,St. George,UT,Dixie Escalante Electric,250,2008,,37.04,-113.62
BARC Electric community solar project,Lexington,VA,BARC Electric Cooperative,550,2016,,43.072119,-72.649372
Grand Isle Community Solar Array,Alburgh,VT,Vermont Electric Cooperative,1000,2016,,43.088342,-72.643318
Soveren Community Solar I,Brattleboro,VT,,150,2014,,43.620959,-73.39443885
Chester CPG,Chester,VT,,235.849,,,44.600526,-73.00455474
Middlebury Service Center,Colchester,VT,Green Mountain Power,,2017,,47.81012,-122.371723
Stickney Brook Community Solar,Dummerston,VT,Green Mountain Power,150,2016,,46.9978315,-120.5507354
Grand Isle Project,Grand Isle,VT,Vermont Electric Cooperative,4900,2018,,44.7274245,-73.29797263
Tannery Brook,Groton,VT,Green Mountain Power,220.125,2015,,44.237711,-72.26035689
Timberworks,Groton,VT,Green Mountain Power,235.849,2016,,44.237711,-72.26035689
Margery Evans Community Solar Array,Guilford,VT,Green Mountain Power,396.226,,,46.9978315,-120.5507354
Kirchheimer Drive Community Solar,Guilford,VT,Green Mountain Power,500,,,46.1997575,-119.1339566
,Hinesburg,VT,Town of Hinesburg,149,2017,,46.138168,-122.938167
Hinesburg Project,Hinesburg,VT,Vermont Electric Cooperative,1300,2018,,46.138168,-122.938167
CPG NM#6441,Londonderry,VT,Green Mountain Power,235.849,2017,,43.202203,-72.80229811
Good Farm Community Solar,Ludlow,VT,,150,2015,,47.495658,-121.786777
Acorn Energy Solar One,Middlebury,VT,Acorn Energy Cooperative,150,2011,,48.4,-119.6
Scholl Solar Field,Putney,VT,,150,2013,,46.2068,-119.768922
Putney Community Solar Array,Putney,VT,Green Mountain Power,144,2013,,43,-72.5172
River Rd Comminity Solar,Putney,VT,,60,2014,,46.239579,-119.100566
Saxtons River Solar Collective,Saxtons River,VT,,27.54,2011,,47.689126,-122.3340075
Precision Drive Solar,Springfield,VT,,150,2014,,47.215094,-123.100707
Townshed Community Solar,Townshend,VT,,130,2014,,47.6729395,-117.4008209
East Hill Rd Community Solar,Townshend,VT,,100,2015,,47.6729395,-117.4008209
199 E. Village Road,Waterford,VT,Green Mountain Power,235.849,2016,,44.3893655,-71.95686168
Brattleboro Area Solar Array,West Haven,VT,Green Mountain Power,205,2014,,47.6729395,-117.4008209
Coyote Ridge Community Solar,Westford,VT,,17.5,2013,,47.252877,-122.444291
Frances Anderson Center Solar Project,Edmonds,WA,Edmonds Community Solar Cooperative,60,2011,,47.252877,-122.444291
Community Renewable Park,Ellensburg,WA,City of Ellensburg PUD,110,2006,Community Renewable Park,47.252877,-122.444291
Community Renewable Park Expansion,Ellensburg,WA,City of Ellensburg PUD,194,2015,Community Renewable Park,47.252877,-122.444291
Ely Community Solar Project,Kennewick,WA,Benton PUD,75,2015,,45.6358085,-122.6071506
Kingston Community Solar,Kingston,WA,Puget Sound Energy,74.96,2016,,47.7987,-122.4982
Cowlitz Community Solar,Longview,WA,Cowlitz PUD,59.08,2016,,44.2510295,-91.49559292
Tanner Electric Community Solar,North Bend,WA,Tanner Electric,50,2016,,45.3146095,-91.65423693
OCEC Community Solar Project & Winthrop Community Solar Project ,Okanogan County,WA,Okanogan County Electric Co-op ,43,2011,,43.386735,-89.04236875
Twispworks,Okanogan County,WA,Okanogan County PUD,35,2012,,44.7679515,-90.60312908
Franklin PUC Community Solar,Pasco,WA,Franklin PUD,69.3,2016,,44.9689105,-92.437835
Old Inland Empire Project,Prosser,WA,Benton PUD,25,2016,,43.65496,-90.3373074
Jefferson Park Shelters,Seattle,WA,Seattle City Light,23.4,2012,,42.50435,-93.261389
Seattle Aquarium,Seattle,WA,Seattle City Light,44.4,2013,,42.50435,-93.261389
Capitol Hill EcoDistrict Project,Seattle,WA,Seattle City Light,25.92,2014,,42.50435,-93.261389
Phinney Ridge Project,Seattle,WA,Seattle City Light,74.79,2014,,42.50435,-93.261389
Carkeek Park,Seattle,WA,Seattle City Light,,2016,,42.50435,-93.261389
Mason County PUD Community Solar,Shelton,WA,Mason County PUD 3,75,2015,,46.564579,-91.40734969
Inland Power & Light Community Solar,Spokane,WA,Inland Power & Light,29.68,2014,Inland Power & Light Community Solar,44.889409,-91.90969626
Inland Power & Light Community Solar addition,Spokane,WA,Inland Power & Light,20,2015,Inland Power & Light Community Solar,45.138471,-90.34922743
Avista Community Solar,Spokane,WA,Avista Utility,425,2015,,43.097217,-89.504288
Tacoma Public Utilities Community Solar Project 2,Tacoma,WA,Tacoma Public Utilities,75,2016,Tacoma Public Utilities Community Solar,45.1261665,-92.54777793
Tacoma Public Utilities Community Solar Project 4,Tacoma,WA,Tacoma Public Utilities,75,2016,Tacoma Public Utilities Community Solar,44.68913,-91.884337
Tacoma Public Utilities Community Solar Project 1,Tacoma,WA,Tacoma Public Utilities,75,2016,Tacoma Public Utilities Community Solar,44.026077,-90.074018
Tacoma Public Utilities Community Solar Project 3,Tacoma,WA,Tacoma Public Utilities,75,2016,Tacoma Public Utilities Community Solar,43.9618595,-90.37989919
Clark Public Utilities Community Solar,Vancouver,WA,Clark Public Utilities,319,2014,,44.865578,-92.6201613
Community Solar Project,Arcadia,WI,Riverland Energy Cooperative,150,2017,,44.865578,-92.6201613
Community Rays,Chetek,WI,Barron Electric Cooperative,100.8,2014,,43.6545895,-90.85742845
Mount Hope Solar Farm,Eastman,WI,Scenic Rivers Energy Cooperative and Dairyland Power Coop,1250,2017,,43.161806,-91.02461357
Eau Claire Energy Coop MemberSolar,Fall River,WI,Eau Claire Energy Cooperative,670,2015,,43.386735,-89.04236875
Solar Garden,Greenwood,WI,Clark Electric Cooperative,53.3,2015,,44.7679515,-90.60312908
Sunflower 1,Hammond,WI,St. Croix Electric Cooperative,103,2014,,44.9689105,-92.437835
Richland Electric Cooperative Community Solar ,Hillsboro,WI,Richland Electric Cooperative,100,2016,,43.65496,-90.3373074
Midland Community Solar,Iowa Falls,WI,Midland Power,147,2017,,0,0
Bayfield Electrics Solar Garden,Iron River,WI,Bayfield Electric Cooperative,320,2016,,46.564579,-91.40734969
Bright Horizons Community Solar Project,Medford,WI,Taylor Electric Cooperative,100.8,2015,,45.138471,-90.34922743
Dunn Energy Co-op,Menomonie,WI,Dunn Energy Cooperative,123,2016,,44.889409,-91.90969626
MGE Shared Solar,Middleton,WI,Madison Gas and Electric,500,2017,,43.1097915,-89.50640527
SunnyOak,Necedah,WI,Oakdale Electric Cooperative,200,2017,,44.018416,-90.07128573
Solar Garden,New Richmond,WI,New Richmond (municipal),250,2015,,45.1261665,-92.54777793
SunnyOak Community Solar Garden ,Oakdale,WI,Oakdale Electric Cooperative,1700,2017,,43.9618595,-90.37989919
SunDEC,Red Cedar,WI,Dunn Energy Cooperative,100,2017,,44.6885,-91.8837
River Falls Community Solar,River Falls,WI,River Falls Municipal Utilities,250,2015,,44.865578,-92.6201613
MemberSolar,River Falls,WI,Eau Claire Energy Cooperative,875,2015,,44.865578,-92.6201613
Sunflower 2,Warren,WI,St. Croix Electric Cooperative,2340,2017,,44.1311,-90.4999
Vernon Community Solar Farm - Phase I,Westby,WI,Vernon Electric Cooperative,305,2014,,43.6545895,-90.85742845